Image_ID, shops shutter,Bike,Motor Bike,Flower,Flower box,Grass,Plant cover,Path and sidewalk,Person in group,Person standing,Person sitting,Trees with oval shape,Water,Trees with columnar shape,Autos,Sky,Palm trees,Dome,Sunshade,merge_E_H_N,merge_B_C_D_,Wall_pixels
AmadR,2090.0,0.0,0.0,0.0,0.0,44.0,40333.0,347326.0,0.0,1732.0,0.0,0.0,2453.0,144474.0,0.0,7159.0,0.0,0.0,0.0,21621.0,0.0,68805.0
AmadR,595.0,1253.0,1027.0,0.0,0.0,0.0,61.0,420784.0,0.0,4965.0,0.0,0.0,915.0,70397.0,0.0,31395.0,0.0,0.0,0.0,116.0,2400.0,410.0
AmadR,47.0,0.0,0.0,0.0,0.0,192.0,4259.0,369962.0,0.0,0.0,0.0,0.0,0.0,109961.0,0.0,13596.0,0.0,0.0,0.0,26891.0,43.0,34566.0
AmadR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13091.0,0.0,35.0,0.0,0.0,19.0,33.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,124275.0
AmadR,0.0,0.0,0.0,0.0,0.0,0.0,595.0,34052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29956.0,178276.0,0.0,0.0,251.0,11.0,6588.0
AmadR,0.0,0.0,0.0,0.0,0.0,0.0,58099.0,279343.0,0.0,0.0,0.0,0.0,4703.0,24245.0,0.0,69983.0,80554.0,0.0,0.0,2812.0,74.0,75439.0
ChbaghDarDol,0.0,0.0,0.0,0.0,0.0,35.0,41827.0,335687.0,0.0,33571.0,1511.0,0.0,245.0,110633.0,0.0,91981.0,0.0,0.0,0.0,11828.0,63.0,21.0
ChbaghDarDol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449275.0,0.0,5164.0,0.0,0.0,4361.0,53701.0,0.0,174546.0,0.0,0.0,630.0,72654.0,0.0,856.0
ChbaghDarDol,0.0,0.0,1175.0,0.0,0.0,33.0,51627.0,290173.0,0.0,6197.0,0.0,0.0,83857.0,76669.0,0.0,158083.0,0.0,0.0,93.0,16512.0,0.0,0.0
ChbaghDarDol,0.0,0.0,0.0,0.0,0.0,0.0,9832.0,338590.0,0.0,32864.0,0.0,0.0,0.0,16240.0,0.0,195681.0,0.0,0.0,0.0,1904.0,1101.0,1093.0
